NIK,PK,PERFORMANCE,COMPETENCY,LEARNING POINT,Kerja Ibadah,Apresiasi,Lebih cepat,Aktif bersama
200700326,1.0,1.02,1.09,0.0,0.95,0.98,0.94,0.87
199500085,0.93,0.93,1.02,0.0,0.88,0.86,0.9,0.99
199500048,0.91,0.98,1.05,0.0,0.96,0.99,1.0,1.0
200700297,0.98,1.03,1.13,0.0,0.92,0.89,1.0,0.94
201600670,0.9,1.02,1.02,0.0,0.95,0.98,1.0,0.99
199500049,0.9,1.03,1.03,0.0,0.68,0.73,0.81,0.68
199600129,1.0,0.98,1.14,0.0,0.98,0.94,1.0,1.0
199500059,0.94,0.95,1.07,0.0,0.99,0.96,0.91,0.96
201700733,0.99,1.01,1.14,1.0,0.96,1.0,1.0,1.0
201801023,0.98,1.01,1.07,1.0,1.0,1.0,1.0,1.0
201903269,0.99,0.99,1.06,1.0,1.0,0.94,0.85,0.88
202104089,1.0,1.01,1.09,1.0,1.0,1.0,1.0,1.0
201600660,1.0,1.02,1.04,1.0,0.97,0.97,0.98,0.89
201600647,1.0,1.0,1.02,1.0,0.88,0.78,0.8,0.77
201903571,1.0,1.0,0.99,1.0,0.85,0.78,0.78,0.78
201903198,1.0,0.99,0.94,1.0,0.85,0.83,0.72,0.77
199700087,1.0,1.02,1.01,1.0,0.97,0.92,0.9,0.92
201800932,1.0,1.0,1.03,1.0,0.95,0.78,0.82,0.83
201500608,1.0,0.98,1.0,1.0,0.89,0.77,0.82,0.81
201902913,1.0,1.0,1.0,1.0,0.81,0.78,0.78,0.89
201500613,1.0,1.01,1.16,1.0,0.92,0.98,1.0,1.0
201300534,1.0,1.02,1.15,1.0,1.0,0.99,0.99,1.0
200800369,1.0,1.0,1.11,1.0,1.0,1.0,1.0,1.0
201903147,1.0,1.04,1.18,1.0,1.0,1.0,0.98,1.0
200300191,1.03,1.06,1.06,1.0,0.96,1.0,1.0,0.94
201000366,1.0,1.03,1.01,1.0,1.0,0.99,0.95,1.0
200300192,1.0,1.02,1.0,1.0,1.0,0.99,0.94,0.98
201600655,0.92,0.93,1.08,1.0,0.95,0.96,0.92,0.92
201700849,1.0,1.01,1.05,1.0,0.68,1.0,0.9,0.82
201400561,1.0,1.01,1.07,1.0,0.9,0.88,0.92,0.91
200800340,1.0,1.01,1.02,1.0,0.99,1.0,0.94,0.99
202003810,1.0,1.01,1.05,1.0,0.95,1.0,0.9,0.94
201903381,1.0,0.99,0.98,1.0,0.95,0.99,0.86,0.88
201200410,1.0,1.01,0.98,1.0,0.91,0.81,0.94,0.89
200500231,0.98,0.96,1.02,1.0,0.87,0.76,0.88,0.79
201400568,1.0,1.02,1.04,1.0,0.83,0.98,0.8,1.0
201300524,1.0,0.99,0.94,1.0,0.94,0.97,0.74,0.92
201400588,1.0,1.0,1.07,1.0,0.92,0.99,0.82,1.0
201700738,1.0,1.01,1.0,1.0,0.96,0.94,0.76,0.78
201800885,0.92,0.92,1.1,1.0,0.92,0.91,0.94,0.88
200700298,1.0,0.99,1.05,1.0,0.8,0.79,0.89,0.84
199400044,1.0,1.0,1.03,1.0,0.96,0.9,0.93,0.94
201400562,0.99,0.98,0.99,1.0,0.92,0.81,0.94,0.94
201400560,0.99,1.01,0.98,1.0,0.95,0.87,0.98,0.98
201600681,0.99,1.05,0.98,1.0,0.82,0.88,0.94,0.93
200500235,1.0,1.0,0.97,1.0,0.91,0.94,0.84,0.97
201903170,1.0,0.98,1.05,1.0,0.84,0.92,0.94,0.88
202003997,1.0,0.99,0.94,1.0,0.96,0.94,0.86,0.89
201700700,1.0,1.01,1.12,1.0,0.95,0.94,0.94,1.0
201903053,0.99,1.01,1.07,1.0,0.95,0.92,0.95,1.0
201700741,0.99,1.0,1.06,1.0,0.96,0.99,0.94,1.0
201600732,1.0,1.0,1.07,1.0,0.95,0.99,0.94,0.99
201903266,1.0,0.99,1.07,1.0,0.95,0.94,0.96,1.0
201903572,1.0,1.0,1.08,1.0,0.96,0.94,0.96,1.0
202104129,1.0,0.99,1.0,0.53,0.94,0.92,0.94,0.98
201300499,1.0,1.04,1.07,1.0,0.94,0.89,1.0,0.95
201801110,0.99,1.01,1.08,1.0,0.92,0.99,0.94,0.92
201700743,0.96,0.97,1.07,1.0,0.87,0.92,0.72,0.88
199700121,0.98,0.99,1.05,0.95,1.0,0.98,0.98,0.99
201903029,0.84,0.87,1.09,1.0,0.98,0.98,0.98,1.0
201500618,0.99,1.0,1.1,1.0,1.0,0.99,0.94,0.99
201700992,0.84,0.89,1.16,1.0,1.0,0.99,0.98,1.0
201500634,0.95,0.96,1.01,1.0,0.96,0.99,0.91,0.94
201903024,0.97,0.97,1.02,1.0,1.0,1.0,0.86,1.0
200000161,0.9,0.94,1.13,1.0,0.98,0.91,0.98,0.96
201903540,0.99,0.99,1.1,1.0,0.78,0.85,0.77,0.82
201700702,1.0,1.02,0.97,1.0,0.83,0.94,0.9,0.98
201500624,1.0,1.02,1.09,1.0,1.0,0.83,1.0,1.0
201000398,0.99,0.99,1.03,1.0,0.98,0.82,0.98,0.99
201903042,0.99,1.0,1.01,1.0,0.98,0.82,0.71,1.0
201700698,0.97,0.99,1.01,1.0,0.9,0.82,0.86,0.85
199600073,1.0,1.03,1.12,1.0,0.95,1.0,0.94,0.99
201902910,0.98,0.99,0.99,1.0,0.91,0.76,0.85,0.93
201903611,0.98,0.97,1.06,1.0,0.96,0.82,1.0,0.87
201700706,0.97,0.99,1.0,1.0,0.97,0.99,0.9,0.93
202104088,1.0,0.99,0.99,1.0,0.92,0.94,0.86,1.0
202104078,0.99,0.99,1.01,1.0,0.92,1.0,1.0,1.0
202104077,1.0,0.99,1.02,1.0,0.86,0.92,0.99,1.0
202104076,1.0,1.0,1.0,1.0,0.95,1.0,0.96,1.0
199200037,0.99,0.98,1.12,1.0,0.77,0.78,0.77,0.78
201801076,1.0,1.02,1.16,1.0,0.98,0.98,0.98,0.98
201700742,1.0,1.01,1.2,1.0,0.98,0.98,0.99,0.81
201500662,1.0,1.01,1.2,1.0,1.0,1.0,0.98,1.0
201700737,1.0,1.01,1.14,1.0,1.0,0.99,1.0,0.99
201600672,1.0,1.0,1.07,1.0,0.97,0.97,0.97,0.81
202004002,1.0,1.0,1.15,1.0,0.99,1.0,1.0,1.0
201700720,1.0,1.01,1.15,1.0,1.0,0.99,0.99,1.0
201800883,1.0,1.02,1.2,1.0,1.0,0.99,0.99,0.99
202003978,1.0,1.0,1.19,1.0,1.0,1.0,1.0,0.82
202104137,1.0,1.0,1.19,0.55,1.0,0.99,0.98,1.0
201200636,0.99,0.97,0.96,1.0,0.78,0.78,0.73,0.78
201300464,0.99,0.98,0.92,1.0,0.8,0.77,0.68,0.78
200900338,0.99,1.0,1.1,1.0,0.99,0.99,0.98,0.99
201903276,0.98,1.0,1.02,1.0,1.0,1.0,0.95,0.94
200400227,0.99,0.97,1.09,1.0,0.89,0.89,0.98,0.89
200700295,0.98,0.97,1.08,1.0,1.0,0.94,0.85,0.94
201801071,0.98,0.99,1.02,1.0,1.0,0.94,0.91,0.94
200800349,0.9,0.95,1.18,1.0,1.0,1.0,1.0,1.0
199500055,0.96,0.99,1.09,1.0,0.96,1.0,0.96,0.94
200400210,0.98,0.98,1.05,1.0,0.94,0.88,0.9,0.94
201000396,0.99,1.0,1.05,1.0,1.0,1.0,1.0,1.0
200600264,0.97,0.99,1.02,1.0,1.0,1.0,1.0,1.0
201800884,0.97,0.97,0.99,1.0,1.0,0.94,0.9,0.99
201890004,1.0,0.99,1.01,0.0,0.96,0.98,0.92,0.96
201990009,0.9,0.91,0.97,0.0,0.96,0.98,0.88,0.91
201400556,0.99,1.0,1.06,1.0,0.9,0.99,0.92,0.94
200800305,1.0,1.0,1.07,1.0,0.95,0.91,0.88,0.88
200800314,1.0,1.02,1.11,1.0,1.0,1.0,0.95,1.0
201100393,0.98,1.0,1.04,1.0,0.94,0.89,0.93,0.94
201000464,0.96,0.98,0.98,1.0,0.86,0.8,0.85,0.78
202003815,0.97,0.99,1.09,1.0,1.0,1.0,1.0,1.0
201100374,0.96,0.96,1.0,1.0,0.99,0.93,0.9,0.98
201902989,0.95,0.95,1.0,1.0,0.95,0.86,0.88,0.98
201500621,0.96,0.98,1.04,1.0,1.0,0.99,0.93,0.99
201600884,0.96,0.98,1.0,1.0,1.0,1.0,0.89,0.98
201902995,0.97,0.98,1.01,1.0,1.0,1.0,0.96,1.0
200400228,0.97,0.96,1.07,1.0,0.95,0.83,0.91,0.83
201903575,0.96,0.98,1.13,1.0,1.0,1.0,0.94,0.98
200800302,0.95,0.96,1.15,1.0,0.91,0.97,0.98,0.96
201700735,0.96,0.94,1.04,1.0,0.73,0.78,0.86,0.78
201801068,0.98,0.97,1.03,1.0,0.9,0.82,0.86,0.88
201801027,0.98,0.99,1.18,1.0,1.0,1.0,1.0,1.0
200800304,0.97,0.97,1.02,1.0,0.96,0.89,0.86,0.94
201700736,0.98,0.96,1.04,1.0,0.78,0.81,0.84,0.76
201801024,0.97,0.98,1.02,1.0,1.0,0.94,0.86,0.94
201100383,0.97,0.96,1.08,1.0,0.81,0.83,0.82,0.78
201801025,0.98,1.0,1.18,1.0,1.0,1.0,1.0,1.0
201801065,0.97,0.96,1.07,1.0,0.85,0.83,0.86,0.82
200800301,0.98,1.0,1.18,1.0,1.0,1.0,1.0,1.0
201200415,0.96,0.95,1.13,1.0,0.88,0.83,0.8,0.77
201400580,0.97,0.98,1.05,1.0,0.94,0.98,0.93,0.95
201400563,0.97,0.97,1.12,1.0,0.71,0.97,0.86,0.97
201801066,0.97,0.98,1.11,1.0,0.92,0.96,0.92,1.0
200300207,0.99,1.0,1.02,1.0,0.81,0.89,0.86,0.89
201700867,0.95,0.95,1.01,1.0,1.0,1.0,0.91,0.94
201700739,0.96,0.96,0.98,1.0,0.95,0.98,0.84,0.93
201903236,0.96,0.97,1.17,1.0,1.0,0.94,0.91,0.88
201700687,0.99,0.99,1.02,1.0,0.96,1.0,0.86,0.94
201801063,0.99,1.0,1.18,1.0,1.0,1.0,1.0,1.0
202104130,0.96,0.91,0.96,1.0,0.1,0.71,0.82,0.83
202104094,0.95,0.91,0.95,1.0,0.1,0.76,0.84,0.94
202104058,0.97,0.98,1.17,1.0,1.0,1.0,1.0,1.0
202104093,0.97,0.96,1.01,1.0,0.88,0.77,0.82,0.83
201000333,0.99,1.03,1.02,1.0,0.96,0.96,0.96,0.91
201300544,1.0,1.02,1.05,1.0,0.96,0.99,0.94,1.0
201801070,1.0,1.03,1.07,1.0,0.96,0.94,0.91,1.0
201000350,0.94,0.94,0.91,1.0,0.92,0.71,0.68,0.72
202104025,1.0,1.0,1.07,1.0,0.96,0.94,0.82,1.0
201100382,0.99,0.99,0.97,1.0,0.95,0.88,0.88,0.94
201000331,0.99,0.99,1.03,1.0,0.94,0.95,0.96,0.94
201000338,1.0,1.03,1.08,1.0,0.93,0.96,1.0,0.97
201300486,1.0,1.02,1.1,1.0,0.96,1.0,0.96,0.94
201500598,1.0,1.02,1.1,1.0,0.99,0.99,0.84,0.99
202003944,0.99,1.0,1.0,1.0,0.8,0.93,0.91,1.0
201701004,0.98,1.01,1.04,1.0,0.91,0.98,0.9,0.99
201903094,0.99,1.01,1.03,1.0,0.89,0.89,0.86,0.78
199900162,1.0,1.0,1.05,1.0,1.0,0.94,0.96,0.99
201500619,0.99,0.98,1.0,1.0,1.0,0.94,0.94,0.88
200800313,0.97,0.96,1.04,1.0,0.92,0.9,0.94,0.94
201300554,0.96,0.97,1.15,1.0,1.0,0.99,1.0,1.0
201500727,0.98,0.97,1.06,1.0,0.92,0.87,0.86,0.88
201200423,0.98,1.02,1.13,1.0,1.0,1.0,0.95,1.0
201700697,0.99,0.98,1.18,1.0,0.88,1.0,1.0,0.89
201801075,0.98,1.0,1.16,1.0,0.98,1.0,0.96,1.0
201200414,1.0,1.01,1.06,1.0,0.95,0.97,0.95,1.0
201200456,1.0,1.03,1.16,1.0,0.99,0.98,0.98,0.99
201000371,1.0,1.01,0.99,1.0,0.97,0.9,0.86,0.9
202003820,1.0,1.01,1.12,1.0,0.96,1.0,0.94,0.99
201300548,1.0,1.0,1.12,1.0,0.78,0.83,0.91,0.83
201600668,1.0,1.03,1.09,1.0,0.98,0.99,0.98,1.0
201400581,1.0,1.0,1.11,1.0,0.92,0.88,0.9,0.99
201902985,1.0,1.0,1.07,1.0,0.87,0.94,0.9,0.88
201903088,1.0,1.02,1.14,1.0,0.99,0.99,0.9,0.98
201903197,1.0,1.01,1.06,1.0,0.96,0.88,0.85,0.93
201500622,1.0,1.01,1.18,1.0,0.98,1.0,1.0,1.0
201902914,0.99,0.98,1.04,1.0,0.84,0.77,0.9,0.75
201801094,1.0,0.99,1.0,1.0,0.85,0.83,0.85,0.83
201700744,1.0,0.97,1.01,1.0,0.76,0.77,0.78,0.78
200200190,1.0,1.02,1.05,1.0,0.98,0.94,0.95,0.91
201000380,1.0,1.0,1.05,1.0,0.99,0.94,0.96,1.0
200100162,1.0,1.0,1.16,1.0,0.88,0.94,0.98,0.98
201200462,1.0,1.01,1.11,1.0,1.0,1.0,0.98,0.94
201700705,1.0,1.01,1.16,1.0,0.92,0.81,0.9,0.93
201903199,1.0,1.02,1.05,1.0,0.88,0.98,0.99,0.99
201903449,1.0,1.01,1.05,1.0,0.88,0.99,0.98,0.93
201400553,1.0,1.01,1.06,1.0,0.89,1.0,0.99,0.99
201700972,1.0,1.0,1.08,1.0,0.88,0.99,0.98,0.99
201903450,1.0,1.01,1.04,1.0,0.88,0.98,0.99,0.98
201700971,1.0,1.01,1.11,1.0,0.89,1.0,1.0,1.0
202104138,1.0,0.99,1.0,0.53,0.77,1.0,0.99,1.0
201801077,1.0,1.01,1.1,1.0,0.88,0.94,0.98,1.0
201500612,1.0,1.02,1.1,1.0,0.98,0.99,0.94,0.99
200900323,1.0,1.02,1.04,1.0,0.99,1.0,1.0,0.99
201000402,0.99,1.01,1.05,1.0,0.97,0.99,0.99,0.99
201300539,0.99,1.02,1.06,1.0,1.0,0.99,1.0,0.99
201200458,0.99,1.0,1.04,1.0,1.0,0.99,0.98,0.99
201300516,1.0,1.02,1.07,1.0,0.99,1.0,1.0,0.99
200900322,1.0,1.01,1.1,1.0,0.95,1.0,1.0,1.0
201400572,0.99,1.0,1.01,1.0,0.99,0.99,0.99,0.99
202003941,0.99,1.0,1.02,1.0,0.99,0.99,0.99,0.98
200700296,0.96,0.97,1.03,1.0,1.0,1.0,1.0,1.0
201903452,1.0,1.01,1.05,1.0,1.0,1.0,1.0,1.0
201600666,1.0,1.04,1.05,1.0,0.96,1.0,1.0,0.94
201801119,0.99,1.0,0.95,1.0,0.88,0.98,0.96,0.99
201801078,0.99,1.0,1.01,1.0,0.99,1.0,1.0,1.0
201300663,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0
201300781,0.99,1.0,1.03,1.0,0.99,0.99,0.98,1.0
201700954,0.99,0.99,1.03,1.0,1.0,0.98,0.98,0.98
201400585,0.99,1.0,0.95,1.0,1.0,1.0,1.0,0.99
201090002,0.99,0.99,1.01,1.0,1.0,1.0,1.0,1.0
202104139,0.99,0.99,1.01,1.0,1.0,1.0,1.0,0.99
201100404,1.0,1.0,1.01,1.0,0.9,0.94,0.96,0.87
201903089,1.0,0.99,1.06,1.0,1.0,0.87,0.86,0.81
201200438,1.0,0.99,1.0,1.0,0.92,0.86,0.9,0.82
201300561,1.0,1.0,1.0,1.0,0.92,0.94,0.86,0.94
202104144,1.0,0.97,1.0,1.0,0.8,0.81,0.98,0.74
201000364,1.0,1.05,1.07,1.0,0.98,0.94,0.95,0.89
201902898,1.0,1.03,1.05,1.0,1.0,0.99,0.94,0.99
201903110,1.0,1.04,1.0,1.0,1.0,1.0,0.94,0.94
201902909,1.0,1.01,1.03,1.0,1.0,0.88,0.99,0.82
201902908,1.0,1.02,0.94,1.0,1.0,1.0,0.91,0.89
202003797,1.0,1.0,0.96,1.0,0.84,0.83,0.86,0.83
201903447,1.0,1.01,1.02,1.0,1.0,0.99,0.94,0.99
201100427,0.99,1.03,1.04,1.0,0.93,1.0,0.98,1.0
199700104,1.0,1.02,1.04,1.0,0.99,1.0,0.96,0.94
199100025,1.0,1.02,1.0,1.0,1.0,0.94,0.86,1.0
199500056,1.0,1.0,1.01,1.0,0.96,0.94,0.82,1.0
199400045,1.0,1.01,1.05,1.0,1.0,0.99,0.95,0.98
199600075,1.0,1.02,1.08,1.0,0.99,0.99,0.94,0.98
200600267,1.0,1.02,1.15,1.0,1.0,0.96,0.99,0.82
201600733,0.99,0.99,0.99,1.0,0.92,0.78,0.76,0.66
201903372,1.0,0.99,1.03,1.0,0.96,0.82,0.95,0.77
201300496,1.0,1.0,1.0,1.0,0.88,0.83,0.72,0.94
201903091,1.0,1.02,1.14,1.0,1.0,1.0,0.96,1.0
201500609,1.0,1.02,1.16,1.0,1.0,0.94,0.91,1.0
201300537,0.95,0.95,1.09,0.0,0.94,0.92,0.95,0.93
199400047,0.95,0.96,1.15,1.0,0.78,0.83,1.0,0.94
201903368,1.0,1.01,1.01,1.0,0.92,0.92,0.9,0.92
201300526,1.0,1.03,1.13,1.0,0.99,0.99,0.99,0.99
201000359,1.0,1.0,1.1,1.0,0.87,0.98,0.98,0.99
201500631,1.0,1.01,1.11,1.0,1.0,1.0,1.0,1.0
200400212,1.0,1.02,1.1,1.0,0.98,0.98,0.98,0.98
198900028,0.98,0.98,1.0,1.0,0.92,0.91,0.95,0.88
198200002,0.5,0.57,1.02,1.0,0.88,0.97,0.98,0.99
200800363,0.98,0.99,1.12,0.5,0.98,1.0,1.0,0.99
198800019,0.98,1.0,1.02,1.0,1.0,1.0,1.0,1.0
201390516,0.98,0.98,1.0,0.7,1.0,1.0,1.0,1.0
199700164,0.91,0.93,1.0,0.6,0.96,0.99,0.86,1.0
200800367,1.0,1.02,1.08,1.0,0.98,1.0,1.0,1.0
200900361,0.97,0.99,1.05,1.0,0.95,0.95,0.94,0.95
201903404,0.93,0.96,1.18,1.0,1.0,1.0,0.98,1.0
201801133,0.99,1.03,1.1,1.0,0.97,0.98,0.98,1.0
198700019,0.97,0.98,1.04,0.0,1.0,1.0,1.0,1.0
200700327,1.0,1.04,1.13,1.0,1.0,0.99,1.0,1.0
198900024,0.72,0.77,1.0,0.9,0.96,1.0,0.96,1.0
200800353,0.94,0.97,1.1,1.0,0.96,1.0,1.0,1.0
201000478,0.88,0.93,1.07,1.0,1.0,1.0,1.0,1.0
201100542,0.97,1.0,1.16,0.0,0.98,1.0,0.98,1.0
200300237,0.75,0.79,1.0,1.0,0.78,1.0,1.0,1.0
199500094,0.99,1.02,1.11,1.0,0.99,0.99,1.0,1.0
200800352,1.0,1.02,1.14,1.0,1.0,0.99,1.0,1.0
199000025,0.97,0.99,1.16,1.0,1.0,1.0,1.0,1.0
200800359,1.0,1.01,1.16,1.0,1.0,1.0,0.98,1.0
198900023,0.89,0.92,1.1,0.6,1.0,1.0,1.0,1.0
201200682,0.94,0.96,1.02,0.7,0.98,1.0,1.0,1.0
198600018,0.95,0.96,0.99,1.0,0.94,0.98,0.98,0.98
201200679,1.0,1.02,1.14,0.92,0.95,0.99,1.0,0.98
201100544,0.97,1.01,1.13,0.82,1.0,1.0,1.0,1.0
201100550,1.0,1.02,1.05,1.0,0.98,0.99,0.98,0.99
199700161,0.98,0.99,1.0,1.0,0.88,0.95,0.98,0.8
199700167,1.0,1.02,1.07,0.0,0.98,1.0,1.0,1.0
200500293,0.98,0.99,1.07,1.0,1.0,1.0,1.0,1.0
201200686,1.0,1.0,1.01,1.0,0.88,0.92,0.94,0.95
198900022,0.97,0.97,1.01,1.0,0.85,0.94,0.9,0.92
198700016,0.98,0.99,1.07,0.8,0.96,0.98,1.0,1.0
200700331,0.93,0.96,1.02,0.0,0.98,1.0,1.0,1.0
201200675,0.98,0.99,1.12,1.0,0.95,0.95,0.93,0.91
199700163,1.0,1.02,1.07,1.0,1.0,1.0,1.0,1.0
199700166,0.96,0.98,1.09,0.6,0.97,0.98,0.98,0.96
198700020,0.9,0.94,1.04,1.0,1.0,1.0,1.0,1.0
201200670,0.96,0.98,1.08,0.0,1.0,0.94,0.95,1.0
199590691,1.0,0.99,1.0,0.0,0.99,0.92,0.98,0.93
200891052,0.75,0.79,1.0,0.0,1.0,1.0,1.0,1.0
202191042,1.0,1.0,1.06,1.0,1.0,0.99,0.94,0.93
202191041,1.0,1.0,1.0,1.0,1.0,0.99,0.99,1.0
201190478,0.98,1.0,1.17,0.0,1.0,1.0,0.98,1.0
200990469,0.97,1.0,1.0,0.65,1.0,1.0,1.0,1.0
199590484,0.99,1.0,1.17,0.0,0.99,1.0,1.0,1.0
200790503,0.98,0.99,1.05,0.0,0.81,0.99,0.94,0.93
199690541,0.99,0.99,1.0,0.0,1.0,1.0,1.0,1.0
201090549,0.99,0.99,1.02,0.0,0.99,1.0,1.0,1.0
201990534,0.98,0.98,1.0,0.0,0.99,0.98,0.99,0.98
201390575,0.98,0.98,1.0,0.0,1.0,1.0,1.0,1.0
201490490,0.98,0.98,1.0,0.0,1.0,1.0,1.0,1.0
198890543,0.99,0.99,1.0,0.0,1.0,1.0,1.0,1.0
198990565,0.98,0.98,1.0,0.0,1.0,1.0,1.0,1.0
199490487,0.99,0.99,1.0,0.0,1.0,1.0,1.0,1.0
199090602,1.0,0.98,1.05,1.0,0.78,0.78,0.78,0.78
201890608,0.93,0.88,0.88,0.57,0.69,0.61,0.5,0.49
201801132,0.94,0.97,1.0,1.0,0.86,1.0,0.86,1.0
201490632,1.0,0.98,1.0,1.0,0.75,0.75,0.76,0.75
201790635,0.98,1.0,1.01,1.0,0.96,1.0,0.98,1.0
199390697,0.93,0.94,0.92,0.9,0.85,1.0,0.82,1.0
200790695,0.96,0.98,0.97,0.75,0.96,0.99,0.94,0.99
199290696,0.92,0.9,1.0,0.55,0.73,0.78,0.6,0.71
201490694,1.0,0.98,1.0,1.0,0.83,0.83,0.7,0.76
199090692,0.91,0.91,0.95,0.75,0.92,0.94,0.82,1.0
202191029,1.0,1.0,1.0,0.0,1.0,1.0,0.99,0.99
202191030,1.0,1.01,1.0,0.0,0.99,0.99,0.98,0.99
201190450,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0
199090517,0.98,0.98,1.0,0.0,1.0,1.0,1.0,1.0
201690475,0.99,0.99,1.0,0.0,1.0,1.0,1.0,1.0
200890561,0.99,0.99,1.0,0.0,1.0,1.0,1.0,1.0
198990563,0.99,0.99,1.0,0.0,1.0,1.0,1.0,1.0
198990572,0.99,0.99,1.15,0.0,1.0,1.0,1.0,1.0
199090522,0.99,0.99,1.0,0.0,1.0,1.0,1.0,1.0
198690570,0.99,0.99,1.15,0.0,1.0,1.0,1.0,1.0
198990594,0.99,0.99,1.15,0.0,1.0,1.0,1.0,1.0
200990598,0.97,1.0,1.03,1.0,0.92,0.83,0.86,0.89
201890595,1.0,1.01,1.03,1.0,0.89,0.88,0.86,0.89
200990600,0.97,0.97,1.0,1.0,0.92,0.83,0.86,0.89
201890596,0.97,0.96,1.04,1.0,0.92,0.88,0.86,0.88
201490599,0.97,0.97,1.03,1.0,0.91,0.8,0.84,0.86
201990604,0.96,0.97,1.0,1.0,1.0,1.0,1.0,1.0
201590605,0.98,0.96,1.0,1.0,0.78,0.78,0.78,0.78
199890601,0.98,0.96,1.03,0.9,0.78,0.78,0.77,0.78
201903677,0.93,0.96,1.02,1.0,0.9,0.98,0.94,0.97
201903678,0.97,0.98,1.03,1.0,0.96,0.99,0.9,0.98
201790610,0.95,0.95,1.0,1.0,0.81,0.83,0.78,0.78
201990611,0.95,0.96,1.0,1.0,0.98,0.92,0.84,0.98
201890615,0.98,0.96,1.0,0.0,0.89,0.83,0.73,0.78
201990634,0.94,1.0,1.01,1.0,0.96,1.0,0.98,0.99
201790636,1.0,1.01,1.0,1.0,0.96,1.0,1.0,1.0
202191051,0.96,0.95,1.08,0.0,0.99,0.82,0.9,0.94
